event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,0,1846,15,98,130,5692,5692,15,83,32,5562,OK
2,0,3306,16,98,130,5692,5692,16,82,32,5562,OK
3,0,4751,16,110,4810,10373,10373,16,94,4700,5563,OK
4,0,5734,21,102,1718,7281,7281,21,81,1616,5563,OK
5,0,5941,16,101,4205,9767,9767,16,85,4104,5562,OK
6,0,6938,16,98,129,5692,5692,16,82,31,5563,OK
7,0,7157,16,97,129,5692,5692,16,81,32,5563,OK
8,0,7321,16,98,4541,10104,10104,16,82,4443,5563,OK
9,0,7472,16,98,3577,9140,9140,16,82,3479,5563,OK
10,0,7633,16,98,3086,8649,8649,16,82,2988,5563,OK
11,0,7934,16,98,1579,7141,7141,16,82,1481,5562,OK
12,0,8105,16,98,943,6506,6506,16,82,845,5563,OK
13,0,8258,16,111,144,5706,5706,16,95,33,5562,OK
14,0,8410,16,98,5517,11080,11080,16,82,5419,5563,OK
15,0,9709,16,98,130,5693,5693,16,82,32,5563,OK
16,0,10939,16,100,133,5695,5695,16,84,33,5562,OK
17,0,12025,16,105,223,5786,5786,16,89,118,5563,OK
18,0,13260,16,230,5842,11405,11405,16,214,5612,5563,OK
19,0,14632,16,98,3481,9044,9044,16,82,3383,5563,OK
20,0,15553,16,100,2236,7799,7799,16,84,2136,5563,OK
21,0,15749,16,97,143,5706,5706,16,81,46,5563,OK
22,0,17360,15,99,5169,10732,10732,15,84,5070,5563,OK
23,0,17565,16,98,630,6193,6193,16,82,532,5563,OK
24,0,17733,16,98,2337,7900,7900,16,82,2239,5563,OK
25,0,17893,16,98,2275,7838,7838,16,82,2177,5563,OK
26,0,20489,16,100,132,5695,5695,16,84,32,5563,OK
27,0,20831,16,100,4171,9734,9734,16,84,4071,5563,OK
28,0,21122,16,98,3444,9007,9007,16,82,3346,5563,OK
29,0,21421,16,98,4849,10412,10412,16,82,4751,5563,OK
30,0,21776,16,97,129,5692,5692,16,81,32,5563,OK
31,0,24231,16,98,4450,10012,10012,16,82,4352,5562,OK
32,0,26026,16,98,130,5693,5693,16,82,32,5563,OK
33,0,27221,16,98,4589,10152,10152,16,82,4491,5563,OK
34,0,27407,16,97,132,5694,5694,16,81,35,5562,OK
35,0,28428,28,110,142,5705,5705,28,82,32,5563,OK
36,0,30036,18,100,131,5694,5694,18,82,31,5563,OK
37,0,30244,16,98,1969,7532,7532,16,82,1871,5563,OK
38,0,31481,16,98,4597,10160,10160,16,82,4499,5563,OK
39,0,32719,19,101,133,5696,5696,19,82,32,5563,OK
40,0,34036,16,97,129,5692,5692,16,81,32,5563,OK
