event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,0,846,16,100,1209,6771,6771,16,84,1109,5562,OK
2,0,2000,2123,2203,7816,13379,13379,2123,80,5613,5563,OK
3,0,3196,16,97,1686,7249,7249,16,81,1589,5563,OK
4,0,3375,16,98,2931,8493,8493,16,82,2833,5562,OK
5,0,4613,16,97,4885,10448,10448,16,81,4788,5563,OK
6,0,5966,28,110,1735,7298,7298,28,82,1625,5563,OK
7,0,7317,16,98,553,6116,6116,16,82,455,5563,OK
8,0,8399,16,98,130,5693,5693,16,82,32,5563,OK
9,0,8604,16,98,4097,9660,9660,16,82,3999,5563,OK
10,0,8778,16,101,133,5695,5695,16,85,32,5562,OK
11,0,8949,16,98,130,5692,5692,16,82,32,5562,OK
12,0,10416,16,97,1275,6838,6838,16,81,1178,5563,OK
13,0,12030,16,99,131,5693,5693,16,83,32,5562,OK
14,0,13494,16,111,3794,9357,9357,16,95,3683,5563,OK
15,0,13736,18,101,1169,6732,6732,18,83,1068,5563,OK
16,0,13929,16,97,129,5692,5692,16,81,32,5563,OK
17,0,14110,16,98,130,5692,5692,16,82,32,5562,OK
18,0,14271,690,771,6384,11947,11947,690,81,5613,5563,OK
19,0,14447,16,98,373,5936,5936,16,82,275,5563,OK
20,0,18052,121,202,5815,11378,11378,121,81,5613,5563,OK
21,0,18265,16,100,2174,7737,7737,16,84,2074,5563,OK
22,0,20769,16,100,132,5695,5695,16,84,32,5563,OK
23,0,22376,16,100,1189,6752,6752,16,84,1089,5563,OK
24,0,23451,1150,1231,6844,12407,12407,1150,81,5613,5563,OK
25,0,23673,16,101,4245,9808,9808,16,85,4144,5563,OK
26,0,23843,16,98,5085,10648,10648,16,82,4987,5563,OK
27,0,26829,22,104,136,5699,5699,22,82,32,5563,OK
28,0,27026,16,111,1798,7361,7361,16,95,1687,5563,OK
29,0,27206,16,98,1668,7231,7231,16,82,1570,5563,OK
30,0,27536,16,98,2012,7575,7575,16,82,1914,5563,OK
31,0,28977,16,97,472,6035,6035,16,81,375,5563,OK
32,0,30045,16,98,2553,8116,8116,16,82,2455,5563,OK
33,0,31127,16,98,339,5902,5902,16,82,241,5563,OK
34,0,32327,16,98,673,6235,6235,16,82,575,5562,OK
35,0,32523,16,98,4595,10158,10158,16,82,4497,5563,OK
36,0,32697,16,111,745,6308,6308,16,95,634,5563,OK
37,0,33982,16,99,5321,10884,10884,16,83,5222,5563,OK
38,0,38168,16,98,130,5692,5692,16,82,32,5562,OK
39,0,38401,1238,1320,6932,12495,12495,1238,82,5612,5563,OK
40,0,38793,16,98,4963,10526,10526,16,82,4865,5563,OK
