event_id,scenario_id,t0_abs_ms,t1_us,t2_us,t3_us,t4_us,R_us,stage1_us,stage2_us,stage3_us,stage4_us,status
1,5,1377,16,97,129,827,827,16,81,32,698,OK
2,5,1611,4199,4281,5030,5728,5728,4199,82,749,698,OK
3,5,1808,16,110,141,839,839,16,94,31,698,OK
4,5,1994,581,662,1411,2108,2108,581,81,749,697,OK
5,5,2190,16,5223,5971,6669,6669,16,5207,748,698,OK
6,5,2367,16,98,130,827,827,16,82,32,697,OK
7,5,2559,16,97,129,827,827,16,81,32,698,OK
8,5,2754,981,1061,1810,2507,2507,981,80,749,697,OK
9,5,2928,16,97,129,827,827,16,81,32,698,OK
10,5,3118,16,97,129,827,827,16,81,32,698,OK
11,5,3294,758,839,1588,2286,2286,758,81,749,698,OK
12,5,3493,1809,1891,2640,3337,3337,1809,82,749,697,OK
13,5,3665,244,325,1074,1771,1771,244,81,749,697,OK
14,5,3850,4806,4887,5635,6333,6333,4806,81,748,698,OK
15,5,4018,15,97,128,826,826,15,82,31,698,OK
16,5,4206,16,98,129,827,827,16,82,31,698,OK
17,5,4390,4720,4801,5549,6246,6246,4720,81,748,697,OK
18,5,4581,3659,3740,4489,5186,5186,3659,81,749,697,OK
19,5,4763,2284,2366,3114,3811,3811,2284,82,748,697,OK
20,5,4931,3567,3648,4397,5094,5094,3567,81,749,697,OK
21,5,5117,16,97,130,827,827,16,81,33,697,OK
22,5,5282,3402,3484,4232,4930,4930,3402,82,748,698,OK
23,5,5453,2194,2276,3024,3721,3721,2194,82,748,697,OK
24,5,5776,16,110,145,843,843,16,94,35,698,OK
25,5,6001,4399,4481,5229,5926,5926,4399,82,748,697,OK
26,5,6195,16,97,649,1347,1347,16,81,552,698,OK
27,5,6384,724,805,1553,2250,2250,724,81,748,697,OK
28,5,6565,16,97,668,1365,1365,16,81,571,697,OK
29,5,6753,2079,2161,2909,3607,3607,2079,82,748,698,OK
30,5,6940,4796,4877,5625,6323,6323,4796,81,748,698,OK
31,5,7133,1825,1906,2654,3352,3352,1825,81,748,698,OK
32,5,7338,16,98,130,828,828,16,82,32,698,OK
33,5,7524,733,815,1563,2261,2261,733,82,748,698,OK
34,5,7734,1012,1093,1842,2539,2539,1012,81,749,697,OK
35,5,7951,4202,4283,5031,5728,5728,4202,81,748,697,OK
36,5,8131,3707,3787,4535,5233,5233,3707,80,748,698,OK
37,5,8322,3324,3406,4154,4851,4851,3324,82,748,697,OK
38,5,8508,16,97,129,827,827,16,81,32,698,OK
39,5,8713,2234,2316,3064,3762,3762,2234,82,748,698,OK
40,5,9524,904,985,1734,2432,2432,904,81,749,698,OK
